"Week_ending_Friday","Week_number","Status","Dubai_crude_USD.p.bbl","NZ_US_exrate","Dubai_crude_NZD.p.bbl","Diesel_importer_cost_NZc.p.l","Diesel_ETS_NZc.p.l","Diesel_GST_NZc.p.l","Diesel_taxes_NZc.p.l","Diesel_price_excl_taxes_NZc.p.l","Diesel_main_port_price_NZc.p.l","Diesel_discounted_retail_price_NZc.p.l","Diesel_importer_margin_NZc.p.l","Diesel_margin_trend_NZc.p.l","Regular_Petrol_importer_cost_NZc.p.l","Regular_Petrol_ETS_NZc.p.l","Regular_Petrol_GST_NZc.p.l","Regular_Petrol_taxes_NZc.p.l","Regular_Petrol_price_excl_taxes_NZc.p.l","Regular_Petrol_main_port_price_NZc.p.l","Regular_Petrol_discounted_retail_price_NZc.p.l","Regular_Petrol_importer_margin_NZc.p.l","Regular_Petrol_margin_trend_NZc.p.l","Premium_Petrol_95R_importer_cost_NZc.p.l","Premium_Petrol_95R_ETS_NZc.p.l","Premium_Petrol_95R_GST_NZc.p.l","Premium_Petrol_95R_taxes_NZc.p.l","Premium_Petrol_95R_price_excl_taxes_NZc.p.l","Premium_Petrol_95R_main_port_price_NZc.p.l","Premium_Petrol_95R_discounted_retail_price_NZc.p.l","Premium_Petrol_95R_importer_margin_NZc.p.l","Premium_Petrol_95R_margin_trend_NZc.p.l","Diesel_main_port_price_excl_taxes_NZc.p.l"
2004-04-23,"2004w17","Final",32.1,0.633,50.74,43.4,0,7.5,7.9,59.6,67.5,67.5,18.7,18.3393108931713,48.6,0,12.7,54.7,59.8,114.5,114.5,13.9,13.8021936372925,50.54357143,0,13.1,55.065,62.835,117.9,117.9,12.29142857,13.922601119771,59.6
2004-04-30,"2004w18","Final",32.65,0.626,52.16,45.8,0,7.3,7.7,58.3,66,66,15.9,18.3412418948872,52.2,0,12.6,54.5,58.5,113,113,11.8,13.783847968003,52.86514286,0,13.43333333,55.39833333,65.50166667,120.9,120.9,12.63652381,13.9137353455553,58.3
2004-05-07,"2004w19","Final",33.38,0.63,52.94,47.8,0,7.8,8.2,62.2,70.3,70.3,18.8,18.343172896603,53.3,0,13,55,62.3,117.3,117.3,13.8,13.7655022987135,55.80942857,0,14.1,56.065,70.835,126.9,126.9,15.02557143,13.9048695713397,62.1
2004-05-14,"2004w20","Final",34.41,0.609,56.55,48.1,0,8.3,8.7,66.2,74.9,74.9,20.5,18.3451038983189,56.4,0,13.5,55.5,66.4,121.9,121.9,14.2,13.747156629424,57.75228571,0,14.1,56.065,70.835,126.9,126.9,13.08271429,13.8960037971241,66.2
2004-05-21,"2004w21","Final",35.77,0.602,59.4,46.5,0,8.3,8.6,65.7,74.3,74.3,17.9,18.3470349000348,54.3,0,13.5,55.4,65.9,121.3,121.3,12.6,13.7288109601345,60.77042857,0,14.1,56.065,70.835,126.9,126.9,10.06457143,13.8871380229084,65.7
2004-05-28,"2004w22","Final",35.03,0.618,56.68,45.7,0,8.5,8.9,68,76.9,76.9,19.9,18.3489659017507,53.7,0,13.8,55.7,68.2,123.9,123.9,11.8,13.710465290845,57.88642857,0,14.32222222,56.28722222,72.61277778,128.9,128.9,14.72634921,13.8782722486928,68
2004-06-04,"2004w23","Final",35.22,0.628,56.13,44.3,0,8.5,8.9,67.7,76.6,76.6,21.3,18.3508969034665,49.4,0,13.7,55.7,67.9,123.6,123.6,13.6,13.6921196215556,57.5805,0,14.1,56.065,70.835,126.9,126.9,13.2545,13.8694064744771,67.7
2004-06-11,"2004w24","Final",33.52,0.629,53.3,44.5,0,8.2,8.5,65.1,73.6,73.6,19.4,18.3528279051824,48.2,0,13.4,55.4,65.2,120.6,120.6,11.5,13.6737739522661,52.359,0,13.87777778,55.84277778,69.05722222,124.9,124.9,16.69822222,13.8605407002615,65.1
2004-06-18,"2004w25","Final",33.31,0.627,53.12,44.5,0,8,8.3,63.3,71.6,71.6,19,18.3547589068983,47.7,0,13.2,55.1,63.5,118.6,118.6,14.1,13.6554282829766,52.396,0,13.54444444,55.50944444,66.39055556,121.9,121.9,13.99455556,13.8516749260459,63.3
2004-06-25,"2004w26","Final",33.66,0.63,53.45,43.2,0,7.8,8.1,61.8,69.9,69.9,17.3,18.3547500257694,44.6,0,13,55,61.9,116.9,116.9,13.7,13.6312488662404,52.28214286,0,13.54444444,55.50944444,66.39055556,121.9,121.9,14.1084127,13.8341543977855,61.8
