year, month, fuel_purchased
2003,01,207.2
2003,02,206.2
2003,03,223.5
2003,04,198.3
2003,05,192.6
2003,06,180.9
2003,07,207.1
2003,08,209.5
2003,09,197.5
2003,10,212.5
2003,11,225.3
2003,12,252.6
2004,01,252.7
2004,02,239.8
2004,03,276.7
2004,04,261.4
2004,05,266.5
2004,06,258.4
2004,07,272.6
2004,08,276.3
2004,09,270.3
2004,10,286.8
2004,11,286.6
2004,12,289.3
2005,01,279.9
2005,02,277.0
2005,03,321.5
2005,04,300.7
2005,05,290.2
2005,06,293.2
2005,07,318.3
2005,08,327.6
2005,09,329.9
2005,10,339.3
2005,11,330.3
2005,12,335.9
2006,01,336.7
2006,02,337.1
2006,03,384.3
2006,04,367.8
2006,05,389.5
2006,06,379.4
2006,07,394.8
2006,08,396.8
2006,09,358.5
2006,10,349.9
2006,11,351.3
2006,12,372.3
2007,01,348.6
2007,02,343.7
2007,03,395.6
2007,04,363.4
2007,05,378.0
2007,06,361.2
2007,07,373.3
2007,08,379.9
2007,09,381.6
2007,10,399.7
2007,11,428.8
2007,12,443.2
2008,01,434.6
2008,02,421.8
2008,03,462.9
2008,04,446.1
2008,05,484.2
2008,06,466.7
2008,07,503.4
2008,08,479.7
2008,09,465.6
2008,10,463.7
2008,11,405.5
2008,12,396.0
2009,01,376.4
2009,02,385.9
2009,03,414.3
2009,04,387.6
2009,05,390.3
2009,06,385.1
2009,07,400.2
2009,08,400.8
2009,09,399.0
2009,10,405.5
2009,11,418.4
2009,12,450.9
2010,01,434.5
2010,02,420.8
2010,03,476.1
2010,04,448.1
2010,05,435.6
2010,06,412.6
2010,07,434.3
2010,08,423.1
2010,09,427.6
2010,10,456.5
2010,11,463.6
2010,12,517.9
2011,01,493.7
2011,02,482.1
2011,03,542.8
2011,04,520.8
2011,05,494.6
2011,06,462.7
2011,07,480.8
2011,08,475.1
2011,09,480.5
2011,10,517.0
2011,11,533.1
2011,12,568.6
2012,01,536.9
2012,02,528.7
2012,03,575.5
2012,04,541.7
2012,05,553.4
2012,06,502.3
2012,07,518.9
2012,08,572.7
2012,09,567.5
2012,10,592.1
2012,11,593.3
2012,12,613.8
2013,01,599.4
2013,02,573.5
2013,03,660.3
2013,04,597.5
2013,05,616.3
2013,06,594.1
2013,07,650.0
2013,08,638.7
2013,09,624.5
2013,10,655.0
2013,11,659.1
2013,12,702.0
2014,01,667.9
2014,02,630.2
2014,03,683.1
2014,04,639.9
2014,05,660.8
2014,06,613.3
2014,07,637.5
2014,08,631.1
2014,09,612.9
2014,10,661.5
2014,11,634.4
2014,12,636.6
2015,01,564.6
2015,02,543.1
2015,03,608.8
2015,04,572.6
2015,05,612.3
2015,06,592.6
2015,07,625.0
2015,08,594.6
2015,09,584.2
2015,10,614.5
2015,11,602.1
2015,12,634.8
2016,01,568.6
2016,02,543.8
2016,03,598.4
2016,04,561.0
2016,05,572.1
2016,06,569.9
2016,07,571.2
2016,08,558.3
2016,09,561.8
2016,10,596.1
2016,11,610.9
2016,12,668.8
2017,01,628.1
2017,02,604.8
2017,03,655.3
2017,04,602.2
2017,05,614.1
2017,06,575.0
2017,07,555.2
2017,08,579.7
2017,09,575.2
2017,10,603.3
2017,11,642.9
2017,12,699.5
2018,01,650.7
2018,02,609.2
2018,03,675.5
2018,04,607.1
2018,05,647.8
2018,06,629.4
2018,07,621.5
2018,08,653.5
2018,09,640.5
2018,10,681.7
2018,11,640.3
2018,12,621.7
2019,01,589.7
2019,02,557.5
2019,03,617.9
2019,04,587.5
2019,05,604.1
2019,06,550.4
2019,07,562.2
2019,08,569.9
2019,09,555.7
2019,10,595.8
2019,11,609.9
2019,12,632.4
2020,01,608.8
2020,02,588.7
2020,03,503.4
2020,04,185.8
2020,05,394.3
2020,06,466.1
2020,07,517.8
2020,08,463.2
2020,09,496.3
2020,10,530.7
2020,11,508.4
2020,12,558.8
2021,01,524.5
2021,02,493.9
2021,03,547.3
2021,04,542.4
2021,05,547.0
2021,06,536.9
2021,07,568.4
2021,08,408.6
2021,09,411.2
2021,10,502.3
