month,month_no,2015,2016,2017,2018,2019,2020
July,7,5610641.543,5544497.063,6184077.911,5799777.132,6079678.434,5889484.323
August,8,5700739.609,5497343.968,5950338.539,7077167.857,6286819.874,6059894.83
September,9,4877209.87,5757994.033,6503403.322,6102254.127,6231718.514,6194753.201
October,10,6223225.877,6467628.004,5690018.039,6768410.684,6554626.681,6312884.064
November,11,6011594.554,6484300.983,5865678.385,6637328.761,6476735.668,6526995.594
December,12,6665164.035,6689691.762,7324505.675,7294137.708,7058879.211,6967166.954
January,1,5995498.894,5380071.112,6083094.157,6819866.559,6606187.974,6645463.742
February,2,5970823.581,6869005.177,6591906.404,6610292.616,6504445.524,6228382.32
March,3,6630749.435,7050296.232,6426700.231,7320276.491,6548432.763,5882064.102
April,4,5952088.312,5631945.709,6407193.655,5925194.867,6496656.065,1513211.819
May,5,5663856.357,6294742.717,6442741.206,6378630.296,6360637.323,4679695.95
June,6,5473374.008,6091331.029,6146058.3,5872377.742,5602837.025,5748890.825
