"","vehicle","model","region","season","month","year","distance","efficiency","kwh"
"1","10bc0a12","Nissan Leaf (30 kWh)","Coastal Otago","Winter",8,2021,2487,6,414.5
"2","10bc0a12","Nissan Leaf (30 kWh)","Coastal Otago","Spring",9,2021,1688,5.8,291
"3","060ffa8d","Hyundai Ioniq (EV)","Waikato","Winter",8,2018,880,7.9,111.4
"4","060ffa8d","Hyundai Ioniq (EV)","Waikato","Spring",9,2018,1352,8,169
"5","060ffa8d","Hyundai Ioniq (EV)","Waikato","Spring",10,2018,1869,7.7,242.7
"6","060ffa8d","Hyundai Ioniq (EV)","Waikato","Spring",11,2018,1286,7.9,162.8
"7","060ffa8d","Hyundai Ioniq (EV)","Waikato","Summer",12,2018,2488,8,311
"8","060ffa8d","Hyundai Ioniq (EV)","Waikato","Summer",1,2019,1206,8.26,146
"9","060ffa8d","Hyundai Ioniq (EV)","Waikato","Summer",2,2019,1411,8.33,169.4
"10","060ffa8d","Hyundai Ioniq (EV)","Waikato","Autumn",3,2019,1892,8.3,228
"11","060ffa8d","Hyundai Ioniq (EV)","Waikato","Autumn",4,2019,1699,7.9,215.1
"12","060ffa8d","Hyundai Ioniq (EV)","Waikato","Autumn",5,2019,2280,7.4,308.1
"13","060ffa8d","Hyundai Ioniq (EV)","Waikato","Winter",6,2019,1436,7,205.1
"14","060ffa8d","Hyundai Ioniq (EV)","Waikato","Winter",7,2019,1415,7,202.1
"15","060ffa8d","Hyundai Ioniq (EV)","Waikato","Winter",8,2019,1683,7.3,230.5
"16","060ffa8d","Hyundai Ioniq (EV)","Waikato","Spring",9,2019,723,7.9,91.5
"17","060ffa8d","Hyundai Ioniq (EV)","Waikato","Spring",10,2019,4991,7.8,639.9
"18","060ffa8d","Hyundai Ioniq (EV)","Waikato","Spring",11,2019,764,8.4,91
"19","060ffa8d","Hyundai Ioniq (EV)","Waikato","Summer",12,2019,1492,9,165.8
"20","060ffa8d","Hyundai Ioniq (EV)","Waikato","Summer",1,2020,2735,8.3,329.5
"21","4f13ed42","Nissan Leaf (24 kWh) 2011-2012","Bay of Plenty","Winter",8,2017,362,6.44,56.2
"22","4f13ed42","Nissan Leaf (24 kWh) 2011-2012","Bay of Plenty","Spring",9,2017,488,6.6,73.9
"23","4f13ed42","Nissan Leaf (24 kWh) 2011-2012","Bay of Plenty","Spring",10,2017,543,8.85,61.4
"24","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Spring",9,2019,1618,7.3,221.6
"25","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Spring",10,2019,1140,7.3,156.2
"26","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Spring",11,2019,1568,7.6,206.3
"27","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Summer",12,2019,1739,7.3,238.2
"28","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Summer",1,2020,2361,6.9,342.2
"29","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Summer",2,2020,1697,7.7,220.4
"30","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Autumn",3,2020,1299,7.7,168.7
"31","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Autumn",4,2020,396,7.1,55.8
"32","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Autumn",5,2020,1256,7.4,169.7
"33","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Winter",6,2020,1952,7,278.9
"34","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Winter",7,2020,1681,7.2,233.5
"35","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Spring",9,2020,1599,7.4,216.1
"36","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Spring",10,2020,1488,7.5,198.4
"37","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Spring",11,2020,1858,7.7,241.3
"38","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Summer",12,2020,1440,7.5,192
"39","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Summer",1,2021,1475,7.6,194.1
"40","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Summer",2,2021,1409,7.9,178.4
"41","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Autumn",3,2021,1892,8,236.5
"42","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Autumn",4,2021,1625,7.8,208.3
"43","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Autumn",5,2021,905,7.9,114.6
"44","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Winter",6,2021,636,7.4,85.9
"45","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Winter",7,2021,412,7.2,57.2
"46","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Winter",8,2021,25,7.2,3.5
"47","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Spring",9,2021,633,7.7,82.2
"48","f87276ae","Nissan Leaf (30 kWh)","Southland","Winter",6,2018,649,6.4,101.4
"49","f87276ae","Nissan Leaf (30 kWh)","Southland","Winter",7,2018,355,7.5,47.3
"50","f87276ae","Nissan Leaf (30 kWh)","Southland","Winter",8,2018,718,7.2,99.7
"51","f87276ae","Nissan Leaf (30 kWh)","Southland","Spring",11,2018,280,6.7,41.8
"52","f87276ae","Nissan Leaf (30 kWh)","Southland","Autumn",4,2019,1307,6.8,192.2
"53","f87276ae","Nissan Leaf (30 kWh)","Southland","Autumn",5,2019,617,6.7,92.1
"54","f87276ae","Nissan Leaf (30 kWh)","Southland","Spring",10,2019,845,6.3,134.1
"55","f87276ae","Nissan Leaf (30 kWh)","Southland","Spring",11,2019,508,7.5,67.7
"56","f87276ae","Nissan Leaf (30 kWh)","Southland","Summer",12,2019,287,8.3,34.6
"57","f87276ae","Nissan Leaf (30 kWh)","Southland","Summer",1,2020,438,7.5,58.4
"58","f87276ae","Nissan Leaf (30 kWh)","Southland","Summer",2,2020,539,7.5,71.9
"59","f87276ae","Nissan Leaf (30 kWh)","Southland","Autumn",3,2020,569,7.2,79
"60","f87276ae","Nissan Leaf (30 kWh)","Southland","Autumn",4,2020,43,7.7,5.6
"61","f87276ae","Nissan Leaf (30 kWh)","Southland","Autumn",5,2020,612,6.3,97.1
"62","f87276ae","Nissan Leaf (30 kWh)","Southland","Winter",6,2020,681,6.4,106.4
"63","f87276ae","Nissan Leaf (30 kWh)","Southland","Winter",7,2020,306,6.2,49.4
"64","f87276ae","Nissan Leaf (30 kWh)","Southland","Winter",8,2020,722,6.7,107.8
"65","f87276ae","Nissan Leaf (30 kWh)","Southland","Spring",9,2020,834,7,119.1
"66","f87276ae","Nissan Leaf (30 kWh)","Southland","Summer",2,2021,479,7.6,63
"67","f87276ae","Nissan Leaf (30 kWh)","Southland","Autumn",3,2021,1483,7,211.9
"68","f87276ae","Nissan Leaf (30 kWh)","Southland","Autumn",4,2021,521,7.7,67.7
"69","f87276ae","Nissan Leaf (30 kWh)","Southland","Autumn",5,2021,475,7.4,64.2
"70","f87276ae","Nissan Leaf (30 kWh)","Southland","Winter",6,2021,333,6.9,48.3
"71","f87276ae","Nissan Leaf (30 kWh)","Southland","Winter",7,2021,435,7.3,59.6
"72","f87276ae","Nissan Leaf (30 kWh)","Southland","Winter",8,2021,540,6.4,84.4
"73","f87276ae","Nissan Leaf (30 kWh)","Southland","Spring",9,2021,696,6.7,103.9
"74","742c1e5e","Nissan Leaf (30 kWh)","Wellington","Winter",8,2021,914,6.6,138.5
"75","abe3eb39","Nissan Leaf (24 kWh) 2011-2012","Far North","Summer",12,2020,420,6.7,62.7
"76","6e8bad8d","Nissan Leaf (30 kWh)","Wellington","Autumn",5,2018,1488,6.1,243.9
"77","6e8bad8d","Nissan Leaf (30 kWh)","Wellington","Winter",8,2018,606,6.4,94.7
"78","6e8bad8d","Nissan Leaf (30 kWh)","Wellington","Spring",10,2018,1250,7,178.6
