year,quarterly,Northland,Auckland,Gisborne,"Hawkes
Bay",Taranaki,Manawatu/Wanganui,Wellington,Nelson/Marlborough,Canterbury,Southland,Others,total
2002,1,,,,,,,,,,,,
2002,2,455.6,2698.9,108.9,360.3,262.3,559.5,857.2,305.5,1271.9,255.3,2191.6,9327
2002,3,455.1,2738.3,109.7,362.5,263,562.7,866.1,308.1,1291.8,254.7,2220.1,9432.1
2002,4,462.4,2813.2,111.3,369.5,269.1,572.7,886.3,318.6,1341.6,260.7,2274.1,9679.5
2003,1,455.9,2795.4,109.9,366.2,265.4,566.1,877.4,315.4,1335.6,258.6,2255.9,9601.8
2003,2,457.4,2807.1,109.2,365.7,266,565.6,880.1,313,1328.1,257.3,2261.8,9611.3
2003,3,463.1,2850.9,110.1,369,268.2,569,890.1,314.4,1346.2,258.5,2291.6,9731.1
2003,4,472.7,2933.2,111.7,375.7,272.9,578.4,908.2,324.2,1397,264.4,2341.7,9980.1
2004,1,471.2,2941.6,111.9,375.3,272.4,577.4,908.4,328,1408.2,264.2,2341,9999.6
2004,2,464.6,2912.2,110.4,371,269.9,571.2,901.9,324.9,1382.3,257.8,2314.4,9880.6
2004,3,466.6,2945.9,110,373.7,272.3,575.4,909.4,330,1388.9,258.6,2337.2,9968
2004,4,474.2,3018.3,111.2,380.5,277.4,583.4,929.6,339,1431.8,268.2,2391.8,10205.4
2005,1,468.8,2994.1,109.6,376.2,272.8,576.2,919.3,337.8,1424.7,265.3,2367.4,10112.2
2005,2,464.7,2978.9,108.3,374.6,270.6,572.4,914.6,334.2,1404.6,261.8,2355.6,10040.3
2005,3,463.4,3000.3,107.2,373.1,270.5,571.8,916.4,332.3,1399,261,2365.8,10060.8
2005,4,467,3052.1,108.4,376.6,273.5,576.3,927.7,339.7,1438,265.2,2403.1,10227.6
2006,1,457.3,3010.1,106.2,371.6,268.3,565.8,910.7,333.2,1422.9,261,2361.8,10068.9
2006,2,453.2,2988.2,104.9,369.9,265.7,561.9,903.8,329,1400.5,256.7,2351.1,9984.9
2006,3,455.2,3015.1,105.2,370.9,267.3,562.7,909.5,331.1,1405.7,257.5,2367.8,10048
2006,4,463.8,3091.5,107.7,381.1,273,575.9,929.5,344.4,1460.6,266.3,2420.9,10314.7
2007,1,456.5,3063.1,106.1,377.7,272.1,571.7,922.4,344.4,1458,264.7,2396.6,10233.3
2007,2,453.6,3051.1,105.3,377,271.8,571.5,920.6,342.4,1442.8,262.6,2393.8,10192.5
2007,3,453.8,3069.2,105,376,273,572.7,926.4,343.5,1447.1,262.5,2411.3,10240.5
2007,4,455.9,3111.6,105.3,379.9,276.9,578.3,937.2,352.7,1483.1,269.4,2444.8,10395.1
2008,1,450.2,3086.8,104,376.5,274.3,570.1,927.2,349,1475.8,268.4,2416.7,10299
2008,2,435.4,3007.7,100.9,367,266.9,555,902.7,337.4,1426.2,259.9,2353.2,10012.3
2008,3,431.6,3004.4,99.7,363.9,265.5,551.7,900.4,334.6,1421.2,258.5,2345.5,9977
2008,4,437.3,3064.9,101.5,370.4,270.9,559.5,919.7,346.4,1464.4,265.7,2393.2,10193.9
2009,1,431.7,3026.2,100.5,366.7,268.3,552.6,908.6,343.9,1454.8,264.4,2365,10082.7
2009,2,429,3007.9,99.2,363.7,267.5,550,904.8,338.2,1433.4,261.5,2353.4,10008.6
2009,3,430.1,3031.3,99.3,365.2,268.8,552.5,912,334.8,1443.3,262.1,2368,10067.4
2009,4,435.3,3094.6,100.7,371.6,273,560.9,929.7,342.4,1489.7,269.1,2413.6,10280.6
2010,1,425.8,3052.6,98.9,366.3,269.9,550.3,915.2,337.9,1472,266.2,2376.4,10131.5
2010,2,421.6,3024.6,97.4,363.2,267.9,546.2,909.8,332.7,1439,262.2,2360.8,10025.4
