Region,Waikato,Bay of Plenty,West Coast,Otago
2001,4.288279363,2.123631957,0.429723265,1.74423152
2002,4.4070979,2.169730053,0.438375989,1.888807076
2003,4.515009389,2.259537027,0.457737286,1.945433197
2004,4.611385973,2.393366083,0.478339443,1.957681507
2005,4.639622295,2.477908228,0.476888797,1.979542641
2006,4.638573343,2.467819253,0.480082923,1.988875591
2007,4.70072286,2.510855242,0.483158678,2.028115421
2008,4.623447186,2.482320691,0.471921263,2.008757682
2009,4.569443023,2.473136219,0.487202216,2.033045989
2010,4.621557127,2.458471282,0.481208714,2.015936127
2011,4.609905757,2.421638499,0.469716135,1.961663703
2012,4.595600367,2.408943752,0.452718711,1.924724925
2013,4.650400757,2.450868085,0.447616981,1.964004723
2014,4.758055219,2.511706598,0.465658541,2.021476025
2015,5.006877951,2.522629869,0.493684563,2.101967684
2016,5.244170591,2.673425811,0.508462425,2.194094406
2017,5.43010598,2.787464845,0.522863922,2.274766741
2018,5.635547337,2.807217691,0.536434535,2.386112528
2019,5.639761469,2.858241878,0.501017709,2.412953564
2020,5.467487726,2.839492824,0.457944408,2.365791631
