Quarter,Whole Dollars $,Total,Northland Region,Auckland Region,Waikato Region,Bay of Plenty Region,Gisborne Region,Hawke's Bay Region,Taranaki Region,Manawatu-Wanganui Region,Wellington Region,West Coast Region,Canterbury Region,Otago Region,Southland Region,Tasman Region,Nelson Region,Marlborough Region,Area Outside Region
2015 Q1,modelled backseries,1891428478,70014114,615241962,204195147,121752386,15620683,58439049,46712493,101807965,158067646,24636746,269525985,101484365,41275152,25655886,15349288,21114823,534789
2015 Q2,modelled backseries,1828728416,77436522,570282302,193322675,116744940,15042853,59998227,47769310,97462780,163937539,20510716,271620122,95133563,40039452,22571430,16605638,19841094,409256
2015 Q3,modelled backseries,2010212500,76861978,672964379,212177858,129977644,16277477,63728239,49364606,116090286,173321626,20097612,279057945,100125885,41815135,21794573,16623564,19439374,494318
2015 Q4,modelled backseries,2004337223,83121863,656770710,214188166,135664154,17030589,62652623,50187526,102516688,174429048,24798527,277328974,101475771,42020227,24939154,15369534,21346067,497602
2016 Q1,modelled backseries,1883118023,81607830,599976989,205859903,125218137,16250204,58515061,48023066,94506461,162361365,25582454,261168078,99073807,41324378,26799299,14455973,21952373,442646
2016 Q2,modelled backseries,1764980582,73611880,573689564,174071958,123731511,14389009,54572336,46927692,90766580,162456169,19494549,251397319,88285305,37278086,21901229,14871818,17221418,314161
2016 Q3,modelled backseries,1865942724,75176266,630097135,205866918,128781702,14981171,49330494,46345757,95676724,163722609,19578895,253475527,91405820,37002855,21219187,13876725,18947730,457208
2016 Q4,modelled backseries,1995887088,84955625,669052811,218430851,135573758,16064925,59540095,48590085,99569137,179353640,23273652,260112377,97843471,40769510,24277777,16673660,21317856,487858
2017 Q1,modelled backseries,2049357094,87918633,659509878,223241033,140058818,21272865,63790992,46780544,105915772,179329874,30565028,268302425,108524935,43827185,30382144,16318770,23127694,490502
2017 Q2,modelled backseries,1917201010,84287614,641820920,203925673,134131364,11092552,61902776,44705407,100538482,170479314,23625713,249607563,93497237,37232816,25162584,15812906,19026158,351930
2017 Q3,actual,1868805894,78362831,630391738,193150496,129674698,15905891,62177465,44275134,103789052,150387689,21339151,252057329,93215757,36157948,23098195,15138555,19343502,340463
2017 Q4,actual,2120088237,90020823,695892872,220634492,147203659,18450165,68122733,46652996,112607152,192827536,28003629,285781988,102665709,41635200,28706980,18183393,22216776,482133
2018 Q1,actual,2062184655,90593768,681991393,226919427,146798063,16902629,70117790,45134728,112992333,165797124,27417149,274364299,94694492,39105842,29449267,18170047,21376841,359463
2018 Q2,actual,2051134307,90281685,703872406,215953201,147342377,16100680,67891489,45024769,111283749,170697438,21627742,266899754,90339589,36596985,30930832,16949939,18924445,417228
2018 Q3,actual,2210379556,92990958,744443667,293483870,146875315,15768635,69713576,45811930,120082115,180196399,21323249,267525775,96935759,40190972,38757867,17423182,18380257,476029
" 2018 Q4",actual,2364435293,103804676,793495443,332107150,159539222,16465767,72511647,37749011,115236831,202952731,26514984,274166054,101210555,43209940,45648858,19339679,19917511,565235
" 2019 Q1",actual,2158121618,94076401,709835178,286988609,147748473,16791624,67454364,42939586,114050531,190182039,26423592,243250726,98256772,40547689,43860927,15556095,19714548,444464
2019 Q2,actual,2165956922,91604511,729603378,284955766,148669096,16913849,65770915,47642113,113540598,191595194,22030949,240812248,100357771,39837402,41466106,13709383,16953552,494090
2019 Q3,actual,2127337450,86493611,727672224,277907257,148255420,13403944,65130597,52579706,113185005,180681661,19967152,253837371,98836259,39068939,22628863,12011176,15318305,359960
2019 Q4,actual,2320037531,97750606,762677820,312301245,171918308,14549225,71982807,51900206,122091667,188458161,26433582,278886278,114955683,47811357,21194025,14464099,22148952,513509
2020 Q1,actual,2206826399,94401352,693074178,312356029,163921459,15617901,68145088,46734917,117184804,181794923,26221228,269364363,107818986,43817915,28019958,13882731,24021108,449456
2020 Q2,actual,1418918567,59131122,458050378,191449674,111710638,11873971,47356679,34976520,77201085,123242518,13702922,165496609,59944923,27178095,15975858,7731121,13505190,391263
2020 Q3,actual,1958945655,81631805,611208519,276418696,150129899,16274539,61243420,45711599,108167499,164506868,19932507,237367586,88495307,41670949,24288562,12019314,19400792,477792
2020 Q4,actual,2075619234,89194526,671851316,298853007,153160351,17261824,66989880,45332251,107477070,171782177,21239068,242270375,90315484,40732669,24645796,13143120,21056153,314169
" 2021 Q1",actual,2068752488,90699869,647938283,298580281,154889767,17344389,68317790,44731132,110602938,166321553,22540544,241657376,101029361,40179462,27545465,13472846,22475028,426403
" 2021 Q2",actual,2153035781,85944038,695487357,307965974,161782399,16978188,69936922,44382890,112012095,171898576,21801591,256121001,99956270,43804233,27336901,13733125,23505577,388644
2021 Q3,actual,1939705947,78276982,589035906,268544497,151649123,15382031,65069976,42062350,100493092,159071453,20462382,250944406,91444470,44026449,26840806,13372272,22529317,500435
