Year,Buses,Heavy trucks,Light commercial vehicles,Light passenger vehicles,Motorcycles
2001,0.144370297,2.187564322,5.187611882,28.809504463,0.233084076
2002,0.154140069,2.279460062,5.285308373,29.804825389,0.231557551
2003,0.164213470,2.359799335,5.399325666,30.755464916,0.233836752
2004,0.182300664,2.508857678,5.563463975,31.54996577,0.240007676
2005,0.195553698,2.57816222,5.664699875,31.731614304,0.271477149
2006,0.203752234,2.612109990,5.757995399,31.541481553,0.314629147
2007,0.211793484,2.683100797,5.935581898,31.902991149,0.340782948
2008,0.218216157,2.672390344,6.02464333,31.207872871,0.379847428
2009,0.224324172,2.533632336,6.018660447,31.295233658,0.395318522
2010,0.231910428,2.532557085,6.055115350,31.227470629,0.391879349
2011,0.228757378,2.539310194,6.079720535,30.747387237,0.380479690
2012,0.235310735,2.527745892,6.185157639,30.717530683,0.379309848
2013,0.242027067,2.582807767,6.445636782,31.005660614,0.387513023
2014,0.25144574,2.675203791,6.807515519,31.566298701,0.392492409
2015,0.258968201,2.731606851,7.243218752,32.578280856,0.402222941
2016,0.271387131,2.809543021,7.811167806,33.910383948,0.416001845
2017,0.289490445,2.950454657,8.402759921,34.741292384,0.421161596
2018,0.306247337,3.041044158,8.994007877,35.297988963,0.435172255
2019,0.317665603,3.061291871,9.353088050,34.738160085,0.430651964
2020,0.282204049,3.033436652,9.461831112,33.040136389,0.415941336
