Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Northland,1.818242274,1.826643447,1.858765436,1.886352354,1.881529988,1.849476008,1.837752338,1.776158905,1.741338848,1.70512578,1.652002003,1.617791478,1.612881021,1.62581528,1.660798875,1.722918404,1.76988862,1.814882303,1.800941283,1.767082697
Auckland,10.48316239,10.89980665,11.3457761,11.75565976,11.97246185,12.06672768,12.22295694,12.09832843,12.09914713,12.14739224,12.12637635,12.29581664,12.53115329,12.95540228,13.60411776,14.38671947,15.0039652,15.38891918,15.18322785,14.29903673
Gisborne,0.434296724,0.440396228,0.443421157,0.446556874,0.436819529,0.428268034,0.428875682,0.409959928,0.403004155,0.396960499,0.386937362,0.37588092,0.375904526,0.37688443,0.379868904,0.389886713,0.399878573,0.402861781,0.417914588,0.413956412
Hawkes Bay,1.419970164,1.455309355,1.482407976,1.511885379,1.509832637,1.506460392,1.519101715,1.486480619,1.478684399,1.467550936,1.435477468,1.420328702,1.422422728,1.436370713,1.475374739,1.537496703,1.596507685,1.641511437,1.653618875,1.6337747
Taranaki,1.036708308,1.06095455,1.078023896,1.098369709,1.09605634,1.085213146,1.104254677,1.089551202,1.089715215,1.088634096,1.061571675,1.056475972,1.064561619,1.075523918,1.091496665,1.117541606,1.139503602,1.159480301,1.170561725,1.149656184
Manawatu/Wanganui,2.221517803,2.257030671,2.288173283,2.319892995,2.314341998,2.286770769,2.312722136,2.251271389,2.234567814,2.212353084,2.150208917,2.130994227,2.134135297,2.179113698,2.234110254,2.304240495,2.367200975,2.427192124,2.437334002,2.411571735
Wellington,3.38231089,3.473124801,3.564385416,3.661566113,3.678902085,3.663848078,3.72460493,3.665583022,3.673152298,3.688925849,3.647836947,3.626499113,3.667825765,3.715719631,3.793677574,3.932944629,4.059920046,4.16490936,4.16912395,4.077420539
Nelson/Marlborough,1.199819751,1.238113942,1.274210232,1.323650643,1.335505577,1.334952585,1.374807093,1.35517316,1.345352179,1.33723562,1.324207916,1.318089092,1.335212878,1.36720841,1.430271571,1.52346479,1.602520897,1.656543593,1.669653967,1.639788594
Canterbury,4.986406853,5.208686302,5.401129937,5.591973405,5.648597482,5.675805167,5.821887178,5.787551647,5.834537765,5.816072765,5.746922016,5.845700062,6.024496542,6.209571922,6.394626928,6.631080954,6.778893901,6.954877516,6.897093997,6.645353533
Southland,1.022698737,1.025923032,1.041989671,1.058319765,1.060990552,1.056127026,1.070185113,1.065494874,1.072672751,1.064575884,1.046535249,1.039436036,1.045515789,1.062493339,1.091496665,1.122553003,1.146519016,1.173510313,1.167555145,1.14364229
Other Regions,8.585866105,8.904011018,9.177716899,9.440773005,9.573961962,9.57535111,9.722852202,9.586446822,9.562827447,9.57717325,9.462924094,9.381987755,9.512890546,9.756896383,10.12516007,10.62015323,11.01520149,11.36531209,11.41197462,11.13071659
