Station,Day(Local_Date),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tmean(C),Tmax(C),Tmin(C),Tgmin(C),VapPress(hPa),ET05(C),ET10(C),ET20(C),ET50(C),ET100(C),Pmsl(hPa),Pstn(hPa),Sun(Hrs),Rad(MJ/m2),SoilM(%)
Auckland Aero,20150101,222,12.4,518,2.4,18.5,22.1,14.9,11.2,15.1,22.2,22.2,-,-,-,1016.2,1015.3,-,32.73,-
Auckland Aero,20150102,229,9.8,310,0.0,17.5,23.3,11.6,7.7,15.5,22.5,22.4,-,-,-,1021.4,1020.5,-,32.45,-
Auckland Aero,20150103,214,9.3,328,0.0,18.4,22.6,14.2,9.6,16.9,22.1,22.2,-,-,-,1023.0,1022.1,-,21.56,-
Auckland Aero,20150104,219,9.3,228,0.0,20.0,25.7,14.3,9.3,18.6,23.1,22.8,-,-,-,1023.5,1022.6,-,29.10,-
Auckland Aero,20150105,215,8.2,251,0.0,19.2,23.7,14.6,11.1,18.2,23.7,23.4,-,-,-,1022.0,1021.1,-,28.33,-
Auckland Aero,20150106,238,8.8,303,0.0,19.2,24.2,14.2,9.1,17.2,24.2,23.9,-,-,-,1021.0,1020.1,-,32.59,-
Auckland Aero,20150107,238,8.8,401,0.0,20.4,24.8,16.0,12.3,17.6,24.3,24.1,-,-,-,1018.5,1017.7,-,29.91,-
Auckland Aero,20150108,69,12.4,382,0.0,20.2,25.5,14.9,11.8,17.1,23.5,23.4,-,-,-,1019.0,1018.1,-,22.77,-
Auckland Aero,20150109,7,8.8,311,2.6,21.3,24.9,17.6,15.0,17.7,23.8,23.6,-,-,-,1022.6,1021.7,-,20.29,-
Auckland Aero,20150110,225,9.3,353,0.0,20.6,25.2,15.9,12.8,19.1,23.4,23.4,-,-,-,1021.7,1020.8,-,30.28,-
Auckland Aero,20150111,212,10.3,455,0.0,21.5,24.7,18.2,15.5,17.4,24.4,24.1,-,-,-,1017.9,1017.1,-,32.48,-
Auckland Aero,20150112,215,10.8,564,0.0,22.1,25.4,18.7,16.1,19.5,23.9,23.7,-,-,-,1015.7,1014.8,-,24.05,-
Auckland Aero,20150113,224,9.8,497,0.0,20.9,24.2,17.5,15.3,17.8,24.7,24.4,-,-,-,1014.6,1013.7,-,32.21,-
Auckland Aero,20150114,219,9.3,331,0.0,20.1,24.1,16.1,13.3,16.0,24.5,24.3,-,-,-,1012.5,1011.7,-,31.45,-
Auckland Aero,20150115,226,8.8,260,0.0,20.8,26.1,15.4,11.4,17.6,24.9,24.6,-,-,-,1009.6,1008.8,-,30.94,-
