City, Year, Month, Day,Hour,Temp,Twet(C),RH(%),Tdew(C)
Gisborne,2017,Jan,1,0,16.8,13.9,71,11.5
Gisborne,2017,Jan,1,1,16.2,13.7,74,11.6
Gisborne,2017,Jan,1,2,16.5,14,74,11.9
Gisborne,2017,Jan,1,3,15.6,13.5,78,11.8
Gisborne,2017,Jan,1,4,17.2,14.4,72,12.1
Gisborne,2017,Jan,1,5,16.7,14.1,74,12.1
Gisborne,2017,Jan,1,6,19.7,15.4,61,12
Gisborne,2017,Jan,1,7,21.2,15.5,52,11
Gisborne,2017,Jan,1,8,22.2,16,49,11
Gisborne,2017,Jan,1,9,24,17,46,11.7
Gisborne,2017,Jan,1,10,24.2,16.4,41,10.1
Gisborne,2017,Jan,1,11,25.2,17,40,10.7
Gisborne,2017,Jan,1,12,24.3,16.8,43,10.9
Gisborne,2017,Jan,1,13,24.8,17.2,43,11.4
Gisborne,2017,Jan,1,14,24.6,17.2,44,11.6
Gisborne,2017,Jan,1,15,24,17.4,49,12.7
Gisborne,2017,Jan,1,16,22.6,17.2,56,13.4
Gisborne,2017,Jan,1,17,22,17,58,13.4
Gisborne,2017,Jan,1,18,20.7,17.6,72,15.5
Gisborne,2017,Jan,1,19,21.2,16.4,59,12.9
Gisborne,2017,Jan,1,20,20.4,15.7,59,12.1
Gisborne,2017,Jan,1,21,19.9,15.3,59,11.7
Gisborne,2017,Jan,1,22,19.8,15.3,60,11.8
Gisborne,2017,Jan,1,23,19.7,15.5,62,12.2
Gisborne,2017,Jan,2,0,19.8,15.6,62,12.3
Gisborne,2017,Jan,2,1,19.6,15.2,60,11.6
Gisborne,2017,Jan,2,2,19.5,15.2,61,11.8
Gisborne,2017,Jan,2,3,19.2,15.6,67,12.9
Gisborne,2017,Jan,2,4,19.1,15.6,67,12.8
Gisborne,2017,Jan,2,5,18.9,15.7,70,13.3
Gisborne,2017,Jan,2,6,19,16,72,13.8
Gisborne,2017,Jan,2,7,20.6,17,68,14.5
Gisborne,2017,Jan,2,8,22.9,17.9,59,14.5
Gisborne,2017,Jan,2,9,23.4,18.5,60,15.2
