City, Station,Year, Month, Day,Hour,Temp,Twet(C),RH(%),Tdew(C)
Upper Hutt, Trentham Ews,2017,Jan,01,00,16.9,14.7,78.0,13.0
Upper Hutt, Trentham Ews,2017,Jan,01,01,16.7,14.9,81.0,13.4
Upper Hutt, Trentham Ews,2017,Jan,01,02,16.8,14.9,81.0,13.5
Upper Hutt, Trentham Ews,2017,Jan,01,03,16.7,15.5,87.0,14.5
Upper Hutt, Trentham Ews,2017,Jan,01,04,16.7,15.6,88.0,14.7
Upper Hutt, Trentham Ews,2017,Jan,01,05,17.0,15.7,87.0,14.8
Upper Hutt, Trentham Ews,2017,Jan,01,06,17.0,15.9,89.0,15.2
Upper Hutt, Trentham Ews,2017,Jan,01,07,17.0,15.8,88.0,15.0
Upper Hutt, Trentham Ews,2017,Jan,01,08,16.8,15.8,90.0,15.2
Upper Hutt, Trentham Ews,2017,Jan,01,09,16.9,16.0,91.0,15.4
Upper Hutt, Trentham Ews,2017,Jan,01,10,17.6,16.6,90.0,16.0
Upper Hutt, Trentham Ews,2017,Jan,01,11,17.7,16.3,86.0,15.3
Upper Hutt, Trentham Ews,2017,Jan,01,12,18.1,17.2,91.0,16.6
Upper Hutt, Trentham Ews,2017,Jan,01,13,17.7,16.8,91.0,16.2
Upper Hutt, Trentham Ews,2017,Jan,01,14,17.5,16.7,92.0,16.2
Upper Hutt, Trentham Ews,2017,Jan,01,15,17.7,17.0,93.0,16.6
Upper Hutt, Trentham Ews,2017,Jan,01,16,17.5,16.8,93.0,16.4
Upper Hutt, Trentham Ews,2017,Jan,01,17,17.6,16.9,93.0,16.5
Upper Hutt, Trentham Ews,2017,Jan,01,18,17.7,16.9,92.0,16.4
Upper Hutt, Trentham Ews,2017,Jan,01,19,17.6,16.8,92.0,16.3
Upper Hutt, Trentham Ews,2017,Jan,01,20,17.4,16.8,94.0,16.4
Upper Hutt, Trentham Ews,2017,Jan,01,21,17.6,16.9,93.0,16.5
Upper Hutt, Trentham Ews,2017,Jan,01,22,17.4,16.8,94.0,16.4
Upper Hutt, Trentham Ews,2017,Jan,01,23,17.2,16.8,96.0,16.6
Upper Hutt, Trentham Ews,2017,Jan,02,00,17.3,16.7,94.0,16.3
Upper Hutt, Trentham Ews,2017,Jan,02,01,17.3,16.5,92.0,16.0
Upper Hutt, Trentham Ews,2017,Jan,02,02,17.2,16.6,94.0,16.2
Upper Hutt, Trentham Ews,2017,Jan,02,03,16.9,16.1,92.0,15.6
Upper Hutt, Trentham Ews,2017,Jan,02,04,16.8,16.0,92.0,15.5
Upper Hutt, Trentham Ews,2017,Jan,02,05,16.6,15.2,85.0,14.1
Upper Hutt, Trentham Ews,2017,Jan,02,06,15.7,15.0,92.0,14.4
Upper Hutt, Trentham Ews,2017,Jan,02,07,16.2,15.5,92.0,14.9
Upper Hutt, Trentham Ews,2017,Jan,02,08,15.8,13.4,75.0,11.4
Upper Hutt, Trentham Ews,2017,Jan,02,09,15.6,13.0,73.0,10.8
Upper Hutt, Trentham Ews,2017,Jan,02,10,15.9,12.9,69.0,10.2
Upper Hutt, Trentham Ews,2017,Jan,02,11,16.2,13.0,67.0,10.1
Upper Hutt, Trentham Ews,2017,Jan,02,12,16.5,13.1,66.0,10.1
Upper Hutt, Trentham Ews,2017,Jan,02,13,16.2,12.7,64.0,9.4
Upper Hutt, Trentham Ews,2017,Jan,02,14,16.1,12.6,64.0,9.3
Upper Hutt, Trentham Ews,2017,Jan,02,15,15.6,12.0,63.0,8.6
Upper Hutt, Trentham Ews,2017,Jan,02,16,15.5,11.8,62.0,8.3
Upper Hutt, Trentham Ews,2017,Jan,02,17,15.0,11.5,63.0,8.0
Upper Hutt, Trentham Ews,2017,Jan,02,18,13.8,11.0,69.0,8.2
Upper Hutt, Trentham Ews,2017,Jan,02,19,13.2,10.9,74.0,8.7
Upper Hutt, Trentham Ews,2017,Jan,02,20,12.8,10.2,70.0,7.5
Upper Hutt, Trentham Ews,2017,Jan,02,21,12.9,10.1,68.0,7.2
Upper Hutt, Trentham Ews,2017,Jan,02,22,12.7,10.1,70.0,7.4
Upper Hutt, Trentham Ews,2017,Jan,02,23,12.2,10.2,76.0,8.1
Upper Hutt, Trentham Ews,2017,Jan,03,00,11.9,10.2,80.0,8.6
Upper Hutt, Trentham Ews,2017,Jan,03,01,12.8,10.6,74.0,8.3
Upper Hutt, Trentham Ews,2017,Jan,03,02,12.3,11.0,84.0,9.7
Upper Hutt, Trentham Ews,2017,Jan,03,03,12.2,10.9,84.0,9.6
Upper Hutt, Trentham Ews,2017,Jan,03,04,12.1,11.0,87.0,10.0
Upper Hutt, Trentham Ews,2017,Jan,03,05,12.1,11.1,88.0,10.2
Upper Hutt, Trentham Ews,2017,Jan,03,06,12.4,11.6,90.0,10.8
Upper Hutt, Trentham Ews,2017,Jan,03,07,12.6,11.8,90.0,11.0
Upper Hutt, Trentham Ews,2017,Jan,03,08,13.1,12.3,90.0,11.5
Upper Hutt, Trentham Ews,2017,Jan,03,09,13.8,13.1,92.0,12.5
